City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Voyvozh,RU,62.892,54.9635,26.19,91,98,1.83,overcast clouds
276,Roman,RO,46.9167,26.9167,41.0,87,20,1.14,few clouds
277,Ekibastuz,KZ,51.6667,75.3667,30.72,63,58,9.26,broken clouds
278,Hovd,MN,48.0056,91.6419,36.84,21,0,3.24,clear sky
279,Benguela,AO,-12.5763,13.4055,78.67,86,100,0.78,overcast clouds
280,Hambantota,LK,6.1241,81.1185,84.2,84,0,8.05,clear sky
281,Nouakchott,MR,18.0858,-15.9785,77.0,47,96,17.27,overcast clouds
282,Griffith,US,41.5284,-87.4237,42.8,41,1,10.36,clear sky
283,Jamalpur,BD,24.9167,89.9333,87.85,51,0,8.03,clear sky
284,Shingu,JP,33.7333,135.9833,64.4,63,75,12.66,broken clouds
285,Tateyama,JP,34.9833,139.8667,66.2,63,40,12.66,scattered clouds
286,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.86,98,96,1.92,overcast clouds
287,Kyrksaeterora,NO,63.2906,9.0891,37.4,87,75,25.32,broken clouds
288,Kudahuvadhoo,MV,2.6708,72.8944,83.12,75,26,14.05,scattered clouds
289,Maceio,BR,-9.6658,-35.7353,73.4,94,0,3.44,clear sky
290,Ilhabela,BR,-23.7781,-45.3581,70.61,83,22,3.6,few clouds
291,Ajdabiya,LY,30.7554,20.2263,59.04,38,0,10.58,clear sky
292,Gympie,AU,-26.1898,152.665,66.99,93,42,5.01,light rain
293,Harper,LR,4.375,-7.7169,78.66,89,98,8.08,overcast clouds
294,East London,ZA,-33.0153,27.9116,61.29,80,39,8.86,scattered clouds
295,Shimoda,JP,34.6667,138.95,66.2,63,40,12.66,scattered clouds
296,Zhigansk,RU,66.7697,123.3711,-2.2,85,100,8.1,overcast clouds
297,Dauphin,CA,51.1494,-100.0502,41.0,65,1,9.22,clear sky
298,Komsomolskiy,UZ,40.4272,71.7189,42.8,45,1,2.3,clear sky
299,Dzerzhinsk,RU,56.2389,43.4631,32.0,100,90,8.95,overcast clouds
300,Neryungri,RU,56.6709,124.6491,14.2,67,100,9.78,overcast clouds
301,Phan Thiet,VN,10.9333,108.1,88.99,58,70,9.86,broken clouds
302,Puerto Del Rosario,ES,28.5004,-13.8627,64.4,72,75,16.11,broken clouds
303,Mecca,SA,21.4267,39.8261,70.21,38,93,10.07,overcast clouds
304,Tezu,IN,27.9167,96.1667,85.69,27,23,3.98,few clouds
305,Yurga,RU,55.7231,84.8861,32.61,91,100,18.99,overcast clouds
306,Lahaina,US,20.8783,-156.6825,78.8,65,40,13.8,scattered clouds
307,Ponta Do Sol,PT,32.6667,-17.1,57.99,62,10,1.99,clear sky
308,Bonao,DO,18.9369,-70.4092,57.0,1,44,2.35,scattered clouds
309,Leshukonskoye,RU,64.8989,45.7622,28.33,90,100,0.78,overcast clouds
310,Nkoteng,CM,4.5167,12.0333,69.73,99,83,2.82,broken clouds
311,Cortez,US,37.3489,-108.5859,51.8,35,1,4.61,clear sky
312,Fort William,GB,56.8165,-5.1121,33.01,94,15,2.71,few clouds
313,Iqaluit,CA,63.7506,-68.5145,-13.0,70,1,4.09,clear sky
314,Dawson Creek,CA,55.7666,-120.2362,35.6,55,20,2.3,few clouds
315,Monrovia,LR,6.3005,-10.7969,77.0,94,75,1.88,light rain
316,Bukachacha,RU,52.9833,116.9167,37.94,39,32,10.38,scattered clouds
317,Karratha,AU,-20.7377,116.8463,95.72,22,10,9.44,clear sky
318,Henties Bay,NA,-22.116,14.2845,62.01,88,3,1.99,clear sky
319,Cherskiy,RU,68.75,161.3,9.27,76,99,7.87,overcast clouds
320,Moose Factory,CA,51.2585,-80.6094,23.0,58,20,4.61,few clouds
321,Akureyri,IS,65.6835,-18.0878,44.6,61,0,26.46,clear sky
322,Maniitsoq,GL,65.4167,-52.9,3.94,89,54,8.57,broken clouds
323,Srednekolymsk,RU,67.45,153.6833,5.02,78,89,4.63,overcast clouds
324,Boyuibe,BO,-20.4167,-63.2833,64.24,87,100,2.37,overcast clouds
325,Luganville,VU,-15.5333,167.1667,84.99,71,99,7.99,overcast clouds
326,Raga,SS,8.4596,25.678,72.82,20,98,2.55,overcast clouds
327,Maracana,BR,-0.7667,-47.45,73.22,95,22,1.68,few clouds
328,Nemuro,JP,43.3236,145.575,48.2,76,75,11.5,broken clouds
329,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,66.99,76,0,1.99,clear sky
330,Port Blair,IN,11.6667,92.75,84.43,53,93,4.16,overcast clouds
331,Dicabisagan,PH,17.0818,122.4157,85.24,56,0,5.1,clear sky
332,Linjiang,CN,41.8069,126.9078,40.91,89,100,4.65,light rain
333,Sistranda,NO,63.7256,8.834,37.4,87,75,25.32,broken clouds
334,Bahia Blanca,AR,-38.7196,-62.2724,65.7,61,98,10.69,overcast clouds
335,Ardino,BG,41.5833,25.1333,55.4,67,80,3.44,broken clouds
336,Biloela,AU,-24.4167,150.5,83.08,42,77,17.65,broken clouds
337,Tautira,PF,-17.7333,-149.15,80.6,69,75,4.61,light rain
338,Zig,US,40.127,-92.7663,50.0,56,1,9.22,clear sky
339,Lasa,IT,46.6166,10.7002,45.0,81,0,6.91,clear sky
340,Dire Dawa,ET,9.5931,41.8661,71.15,30,2,1.7,clear sky
341,Kavali,IN,14.9167,79.9833,92.59,37,84,2.84,broken clouds
342,Shakiso,ET,5.75,38.9167,57.65,92,53,3.85,broken clouds
343,Berlevag,NO,70.8578,29.0864,27.73,89,48,12.77,scattered clouds
344,Mubi,NG,10.2676,13.2644,72.18,14,52,2.3,broken clouds
345,Fasa,IR,28.9383,53.6482,53.6,50,0,3.42,clear sky
346,Quatre Cocos,MU,-20.2078,57.7625,82.99,89,40,10.36,scattered clouds
347,Mazagao,BR,-0.115,-51.2894,82.4,100,40,5.75,scattered clouds
